charge_code,dmpsj_category
22DC2103,Homicide
22DC2105-I,Homicide
22DC2105-V,Homicide
50DC2203.01 X,Homicide
50DC2203.01 Y,Homicide
50DC2201.05(A)(2),Leaving after colliding
50DC2201.05[A][1] X,Leaving after colliding
50DC2201.05[A][1] Y,Leaving after colliding
50DC2201.05C(A)(1),Leaving after colliding
50DC2201.05C(A)(2),Leaving after colliding
TITLE1SEC102(F)10C,Leaving after colliding
TITLE1SEC102(F)10C X,Leaving after colliding
24DCMR502.1(2014),Licensing offense
24DCMR502.2,Licensing offense
47DC2828,Licensing offense
18USC01512a1C,Obstruction of justice
22DC722,Obstruction of justice
22DC722(A)(2)(A),Obstruction of justice
22DC722(A)(2)(B),Obstruction of justice
22DC722(A)(2)(C),Obstruction of justice
22DC722(A)(2)(D),Obstruction of justice
22DC722(A)(3)(A),Obstruction of justice
22DC722(A)(3)(B),Obstruction of justice
22DC722(A)(3)(C),Obstruction of justice
22DC722(A)(3)(D),Obstruction of justice
22DC722(A)(4),Obstruction of justice
22DC722(A)(5),Obstruction of justice
22DC722(A)(6),Obstruction of justice
22DC723,Obstruction of justice
5DC121.05,Obstruction of justice
25DC1001(A),Open container
25DC1001(A)(4),Open container
25DC1001A,Open container
22999999999,Other
15USC00377,Other
18USC00201,Other
18USC00249a1,Other
18USC00842i1,Other
18USC00951,Other
18USC02113e,Other
18USC1368(A),Other
19DCMR1309.1,Other
22DC1319(B)(1),Other
22DC1319A,Other
22DC1705,Other
22DC1803,Other
22DC1806,Other
22DC2104.02(A),Other
22DC2104.02(B),Other
22DC2107(A),Other
22DC2501,Other
22DC2707,Other
22DC301,Other
22DC3020(A)(4),Other
22DC3052,Other
22DC3053,Other
22DC3214[B][D],Other
22DC3251,Other
22DC3252,Other
22DC3312.03,Other
22DC3701,Other
22DC3751,Other
"22DC402,1806",Other
22DC704,Other
22DC712,Other
22DC713,Other
22DC811,Other
22DC811(B)(3),Other
22DC811A5,Other
22DC934,Other
22DC951(B)(1),Other
22DC951(C)(1)(B),Other
24DCMR100.1,Other
24DCMR500.5,Other
30SUSC30-16-5,Other
5DC115.03,Other
5DC117.05,Other
8DC902,Other
8DC902B2,Other
ACT16445SEC102(D)(5),Other
INDPH,Other
22DC2302,Panhandling
22DC2302A,Panhandling
22DC2302C,Panhandling
22DC2601,Prisoner escape
22DC2601A1,Prisoner escape
22DC2601A2,Prisoner escape
22DC2601A3,Prisoner escape
10DC503.15,Property
18USC01705,Property
18USC01951a,Property
18USC02114,Property
22DC303,Property
22DC303F,Property
22DC303-F,Property
22DC303M,Property
22DC303-M,Property
22DC3311-X,Property
22DC3312.01,Property
22DC601,Property
22DC851(C),Property
22DC851(D),Property
36RUSC1002.31a2,Property
18USC02422a,Prostitution
18USC02423a,Prostitution
18USC02423b,Prostitution
22DC1833,Prostitution
22DC2701,Prostitution
22DC2701(B)(2),Prostitution
22DC2701-X,Prostitution
22DC2701-Y,Prostitution
22DC2705-Y,Prostitution
22DC2712,Prostitution
22DC2722,Prostitution
ACT16445SEC211,Prostitution
22DC1211,Release violations
22DC1211(A)(1)(C),Release violations
23DC1328A1,Release violations
23DC1328A2,Release violations
23DC1329,Release violations
24DC241.05,Release violations
22DC1322B,Rioting
22DC1322D,Rioting
18USC01951,Robbery
18USC02113AB,Robbery
18USC02119,Robbery
22DC2104.01(B)(8),Robbery
22DC2801,Robbery
22DC2802,Robbery
22DC2803A1,Robbery
22DC2803B1,Robbery
18USC01591,Sex offense
18USC02250c,Sex offense
18USC02423,Sex offense
18USC1591,Sex offense
18USC2252A,Sex offense
18USC2252Aa2A,Sex offense
18USC2252Aa2B,Sex offense
18USC2252Aa7,Sex offense
22DC1312,Sex offense
22DC1312(B)X,Sex offense
22DC1312(B)Y,Sex offense
22DC1312A-X,Sex offense
22DC1834,Sex offense
22DC1835,Sex offense
22DC1836,Sex offense
22DC1901,Sex offense
22DC2201A1A,Sex offense
22DC2704,Sex offense
22DC2705(C)(2),Sex offense
22DC2706,Sex offense
22DC3002(A)(1),Sex offense
22DC3002(A)(2),Sex offense
22DC3002(A)(4),Sex offense
22DC3002[1],Sex offense
22DC3002[2],Sex offense
22DC3003,Sex offense
22DC3003[1],Sex offense
22DC3003[2],Sex offense
22DC3004,Sex offense
22DC3004[1],Sex offense
22DC3004[2],Sex offense
22DC3004[3],Sex offense
22DC3004[4],Sex offense
22DC3005[1],Sex offense
22DC3005[2],Sex offense
22DC3006,Sex offense
22DC3008,Sex offense
22DC3009,Sex offense
22DC3009.01,Sex offense
22DC3009.02,Sex offense
22DC3009.03,Sex offense
22DC3010,Sex offense
22DC3010.01,Sex offense
22DC3010.02,Sex offense
22DC3010-F,Sex offense
22DC3010-M,Sex offense
22DC3013,Sex offense
22DC3013[1][2],Sex offense
22DC3014,Sex offense
22DC3014[1][2],Sex offense
22DC3015,Sex offense
22DC3015(A)(2),Sex offense
22DC3015(A)(4),Sex offense
22DC3015A[1][2],Sex offense
22DC3016,Sex offense
22DC3016(A)(1),Sex offense
22DC3016(A)(2),Sex offense
22DC3018,Sex offense
22DC3101-03,Sex offense
22DC3102(A)(1),Sex offense
22DC3102(B),Sex offense
22DC3531(F)(2),Sex offense
22DC3531B,Sex offense
22DC3531C,Sex offense
22DC3531D,Sex offense
"22DC401,3002(A)(1)",Sex offense
"22DC401,3002(A)(2)",Sex offense
