mpd_arrest_number,mpd_arrest_date,person_type,top_charge,mpd_charge_category,mpd_charge_description,charge_code,age,arrest_count,race,ethnicity,sex,home_psa,arrest_district,arrest_psa,home_city,home_state,pdid,ccn,latitude,longitude,dmpsj_category,year,month,is_marijuana
99841340819035186767313392292492790790,2016-04-03 13:06:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),63,19.0,Black,Not Hispanic Or Latino,Male,Unknown,4D,401,,,261269109834799445584678980206158520467,285294843062327676331222941639328329618,38.972,-77.027,Assault,2016,4,False
326264884268115910629381257485145166872,2016-04-03 16:50:00,DEFENDANT IN ARREST,Yes,Narcotics,Unlawful Possession Of Liquid Pcp,48DC904.01(D)(2),47,3.0,Black,Not Hispanic Or Latino,Male,704,7D,704,WASHINGTON,DC,110173419384046419655076125252454016961,295036394759763787378056088505049438098,38.85,-76.976,Drugs,2016,4,False
143526262431120460638321181539894536581,2016-04-03 17:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),38,0.0,Black,Not Hispanic Or Latino,Female,105,1D,105,WASHINGTON,DC,36545751877016828794933786048097335718,303455645160468320450442717313775958542,38.875,-77.014,Assault,2016,4,False
302458289918415678734165100718457351931,2016-04-03 17:55:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,50,11.0,White,Unknown,Male,Unknown,1D,102,,,177783957293811012961068385450998015604,42756194600559035930921635360648681774,38.9,-77.02,Failure to appear,2016,4,False
256333518889031986653979834888738716717,2016-04-03 18:27:00,DEFENDANT IN ARREST,Yes,Burglary,Burglary One,22DC801A,24,0.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,7D,Unknown,LAUREL,MD,206802295948591757300913575467062448346,78950089937408229313938582297135896515,38.844,-76.994,Burglary,2016,4,False
318492806889215515158776212781445112613,2016-04-03 18:47:00,DEFENDANT IN ARREST,Yes,Burglary,Burglary One,22DC801A,24,0.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,7D,705,LAUREL,MD,315089954449836688076850191830070530879,78950089937408229313938582297135896515,38.844,-76.99600000000001,Burglary,2016,4,False
318492806889215515158776212781445112613,2016-04-03 18:47:00,DEFENDANT IN ARREST,,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,24,0.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,7D,705,LAUREL,MD,315089954449836688076850191830070530879,78950089937408229313938582297135896515,38.844,-76.99600000000001,Weapons,2016,4,False
44112354940738389520059669252234585991,2016-04-03 21:00:00,DEFENDANT IN ARREST,Yes,Offenses Against Family & Children,1st Degree Cruelty To Children,22DC1101A1-X,47,4.0,Black,Not Hispanic Or Latino,Female,605,6D,605,WASHINGTON,DC,152807608692310657481191344744053488626,264361806190231115675514702392896984445,38.869,-76.944,Cruelty to children,2016,4,False
295863010131558079472612071945673652179,2016-04-03 21:00:00,DEFENDANT IN ARREST,Yes,Aggravated Assault,Aggravated Assault,22DUSC00404.01,32,12.0,Black,Unknown,Male,502,4D,405,WASHINGTON,DC,110011719979374808298428911308631906844,26956924887781629218844588598183883051,38.943000000000005,-76.983,Assault,2016,4,False
140206109226592645301137153903514383286,2016-04-03 21:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),65,0.0,Black,Unknown,Male,304,3D,304,WASHINGTON,DC,184652244274649001407831685242970934725,66953721923834094345559778865105468470,38.921,-77.03,Assault,2016,4,False
299870166220810997219549948139611632915,2016-04-04 02:20:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,21,12.0,White,Hispanic Or Latino,Male,403,4D,407,WASHINGTON,DC,274689485437139106167714907186378492014,181820894542310161718946370983247741330,38.951,-77.02,Weapons,2016,4,False
101342994561457523428069050451136905173,2016-04-04 02:20:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,23,21.0,White,Hispanic Or Latino,Male,403,4D,407,WASHINGTON,DC,310168871891212470558840625721706011372,181820894542310161718946370983247741330,38.951,-77.02,Weapons,2016,4,False
180720720108134955862585296019548233834,2016-04-04 02:20:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,18,18.0,White,Hispanic Or Latino,Male,407,4D,407,WASHINGTON,DC,54725989113964411309926770558427699186,181820894542310161718946370983247741330,38.951,-77.02,Weapons,2016,4,False
112517784166997996003286660230184428658,2016-04-04 03:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),37,1.0,Black,Not Hispanic Or Latino,Female,604,4D,405,WASHINGTON,DC,183148173157567941072365796586320406321,44933472388662561822660078252054370572,38.93,-77.016,Assault,2016,4,False
11757545385068318175635665541214330087,2016-04-04 03:45:00,DEFENDANT IN ARREST,Yes,Sex Abuse,Assault W/intent To Commit First Degree Sexual Abuse (force) (rape),"22DC401,3002(A)(1)",46,2.0,Black,Unknown,Male,705,7D,705,WASHINGTON,DC,79224566813878890747261798608838137312,253591065583358885913836720323542351865,38.841,-76.993,Sex offense,2016,4,False
279484931806225300006750807866865555762,2016-04-04 11:30:00,DEFENDANT IN ARREST,Yes,Aggravated Assault,Assault With Significant Bodily Injury,22DC404(A)(2),36,0.0,White,Not Hispanic Or Latino,Male,OUT OF STATE,2D,207,HAVRE DE GRACE,MD,51325185969708134047216842626081364286,28851955856838112985675385639103272797,38.900999999999996,-77.03699999999999,Assault,2016,4,False
224841223040686685763245410954693004657,2016-04-04 13:23:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),58,0.0,Black,Not Hispanic Or Latino,Male,601,6D,601,WASHINGTON,DC,171561011310225913599015018799678163919,126477412965541084241466979166742140983,38.905,-76.95100000000001,Assault,2016,4,False
226471272462301598103205870966568946418,2016-04-04 14:39:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),27,9.0,Black,Not Hispanic Or Latino,Male,406,1D,102,WASHINGTON,DC,267609002829821000252129146774541857746,133707251880452421699458632788349365703,38.894,-77.01899999999999,Assault,2016,4,False
59114290277835986937519220708189366839,2016-04-04 16:45:00,DEFENDANT IN ARREST,Yes,Robbery,Attempt To Commit Robbery,22DC2802,50,2.0,Black,Unknown,Male,707,5D,501,WASHINGTON,DC,300755692865025074796093417412832478151,121630780839561127910527537252803699602,38.908,-77.001,Robbery,2016,4,False
14225818524888693518718836464697956916,2016-04-04 18:00:00,DEFENDANT IN ARREST,Yes,Robbery,Robbery,22DC2801,21,13.0,Black,Not Hispanic Or Latino,Male,704,5D,502,WASHINGTON,DC,265228365373807817964335485260793972898,21835321358900040310849622090716570201,38.927,-76.99600000000001,Robbery,2016,4,False
319669770295461912848269916553636625907,2016-04-04 22:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,26,2.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,5D,504,FALLS CHURCH,VA,231172623042810944428824140530593835542,129563131163547642537398457694406022666,38.925,-76.987,Drugs,2016,4,False
319669770295461912848269916553636625907,2016-04-04 22:00:00,DEFENDANT IN ARREST,,Narcotics,Poss Of A Controlled Substance -felony,48DC904.01D(F),26,2.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,5D,504,FALLS CHURCH,VA,231172623042810944428824140530593835542,129563131163547642537398457694406022666,38.925,-76.987,Drugs,2016,4,False
121319985585843421566461672558222322487,2016-04-04 22:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,22,9.0,Black,Not Hispanic Or Latino,Male,507,5D,504,WASHINGTON,DC,218284788496354726430175816234943924546,129563131163547642537398457694406022666,38.925,-76.987,Drugs,2016,4,False
276399995964195047004519858823393597620,2016-04-04 23:40:00,DEFENDANT IN ARREST,Yes,Sex Offenses,Third Degree Sex Abuse- Force,22DC3004[1],54,7.0,Black,Unknown,Male,302,3D,302,WASHINGTON,DC,164768116006522623261356603660080470330,214946533154923820593293035773284920773,38.93,-77.023,Sex offense,2016,4,False
302596763680433205863110712023925976281,2016-04-05 03:00:00,DEFENDANT IN ARREST,Yes,Robbery,Armed Carjacking,22DC2803B1,24,15.0,Black,Not Hispanic Or Latino,Male,604,6D,603,WASHINGTON,DC,150224610690520483894866437109806706844,212782839212413439314387035258576486712,38.891999999999996,-76.949,Robbery,2016,4,False
302596763680433205863110712023925976281,2016-04-05 03:00:00,DEFENDANT IN ARREST,,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,24,15.0,Black,Not Hispanic Or Latino,Male,604,6D,603,WASHINGTON,DC,150224610690520483894866437109806706844,212782839212413439314387035258576486712,38.891999999999996,-76.949,Vehicle,2016,4,False
85199964148303957899332058596329284963,2016-04-05 03:00:00,DEFENDANT IN ARREST,Yes,Robbery,Armed Carjacking,22DC2803B1,20,11.0,Black,Not Hispanic Or Latino,Male,605,6D,602,WASHINGTON,DC,214378832078948223933326957525982681337,212782839212413439314387035258576486712,38.893,-76.947,Robbery,2016,4,False
85199964148303957899332058596329284963,2016-04-05 03:00:00,DEFENDANT IN ARREST,,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,20,11.0,Black,Not Hispanic Or Latino,Male,605,6D,602,WASHINGTON,DC,214378832078948223933326957525982681337,212782839212413439314387035258576486712,38.893,-76.947,Vehicle,2016,4,False
99635665296077746544199131555008274974,2016-04-05 04:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault W/i To Kill,22DC401-U,28,8.0,Black,Not Hispanic Or Latino,Female,402,6D,608,WASHINGTON,DC,78405992831381052642420906266835447844,181410922690817871473679995998651150877,38.9,-76.93,Assault,2016,4,False
220301803644835145424229034717675062853,2016-04-05 06:45:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,29,2.0,Black,Not Hispanic Or Latino,Female,608,6D,608,WASHINGTON,DC,276951164033250997928780578499811972498,18126806899359996824945914013627678221,38.902,-76.929,Failure to appear,2016,4,False
5611611787038732506880605398134701196,2016-04-05 07:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),20,1.0,White,Hispanic Or Latino,Male,404,4D,402,WASHINGTON,DC,110457802778886013585814956890708756406,78759449091036736513710619662934551948,38.963,-77.027,Assault,2016,4,False
13373751527345309556042481926740846929,2016-04-05 10:18:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,25,5.0,Black,Not Hispanic Or Latino,Female,607,5D,504,WASHINGTON,DC,134804018082742158118096775906516216113,332293923916370427447313985707647354943,38.93,-76.993,Failure to appear,2016,4,False
312294142398631410491145126582879407049,2016-04-05 12:45:00,DEFENDANT IN ARREST,Yes,Sex Offenses,Second Degree Sexual Abuse Of A Patient Or Client,22DC3014,63,0.0,Black,Not Hispanic Or Latino,Male,302,3D,302,WASHINGTON,DC,173178432201950824622843717301263162623,122558508329579416510140287146923867331,38.93,-77.024,Sex offense,2016,4,False
189585315132254200598616408429456995768,2016-04-05 14:15:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),46,0.0,Black,Unknown,Male,702,7D,702,WASHINGTON,DC,194352441793819568629063858982887172518,300075337377744498591737509697141680107,38.86,-76.97,Assault,2016,4,False
156265286427678005979514467243630477768,2016-04-05 16:15:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),22,2.0,Black,Not Hispanic Or Latino,Male,304,7D,702,WASHINGTON,DC,125176585010211896640111516395083978439,300075337377744498591737509697141680107,38.86,-76.97,Assault,2016,4,False
35840589065001015964972978567644888008,2016-04-05 16:20:00,DEFENDANT IN ARREST,Yes,Narcotics,Unlawful Possession Of Liquid Pcp,48DC904.01(D)(2),29,11.0,Black,Unknown,Male,708,7D,708,WASHINGTON,DC,332440900442348026670961289512437316350,128748262339063662251412596608150733504,38.823,-77.007,Drugs,2016,4,False
11257074335268605377348428781244348170,2016-04-05 16:40:00,DEFENDANT IN ARREST,Yes,Burglary,"Burglary I, Armed",22DC801A,29,11.0,Black,Unknown,Male,604,6D,604,WASHINGTON,DC,227710022196086010705143990554507127973,83205689153484350726810267322709620361,38.878,-76.931,Burglary,2016,4,False
253328259183828622082104534399748745483,2016-04-05 17:59:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,27,19.0,Black,Not Hispanic Or Latino,Male,705,7D,706,WASHINGTON,DC,309404650878988908705969626460312136406,10760261884808878807769969988979892962,38.832,-76.988,Drugs,2016,4,False
294880789089250164949656964226631752744,2016-04-05 18:15:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,35,9.0,Black,Unknown,Female,604,7D,705,WASHINGTON,DC,255084916323310423275796756531992350526,30893477899296324106421967666750391725,38.844,-76.998,Failure to appear,2016,4,False
278910043031294662034082514709626264744,2016-04-05 18:54:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist Marijuana-fel,48DC904.01A1A2B-V,36,3.0,Black,Not Hispanic Or Latino,Male,501,4D,409,WASHINGTON,DC,313698741061490660244348861439488067966,264153060308844299020627121421797066519,38.934,-77.035,Drugs,2016,4,True
188151151043773533810712532353754369716,2016-04-05 22:00:00,DEFENDANT IN ARREST,Yes,Robbery,Robbery,22DC2801,20,2.0,Black,Not Hispanic Or Latino,Male,506,5D,506,WASHINGTON,DC,243424364854489166368466273898187394747,240116408220871687100195125521233786482,38.906,-76.99,Robbery,2016,4,False
326022422135121493147396505302456005840,2016-04-05 22:30:00,DEFENDANT IN ARREST,Yes,Robbery,Robbery,22DC2801,36,13.0,Black,Not Hispanic Or Latino,Female,409,5D,503,WASHINGTON,DC,228712944469888285717714441717910992749,297016057846561490438707711042933650045,38.915,-76.97399999999999,Robbery,2016,4,False
317369965400827557509783779814004658719,2016-04-05 22:49:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7DC2502.01,34,1.0,Black,Unknown,Male,603,6D,603,WASHINGTON,DC,27376499500751619126901409860039690455,51503653515695839642968935050217479567,38.885999999999996,-76.947,Weapons,2016,4,False
239404233320214660366833329244932583315,2016-04-06 01:40:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possession Of Destructive Device,7DC2501.01(7),28,2.0,Black,Not Hispanic Or Latino,Male,409,3D,307,WASHINGTON,DC,194784826662536941903627365379255265851,157862533530155313983183694316942689495,38.908,-77.024,Weapons,2016,4,False
85583798135496910761703340581657461785,2016-04-06 06:25:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,31,2.0,Black,Not Hispanic Or Latino,Male,603,6D,603,WASHINGTON,DC,336646962839467459668825446871242623718,115915204936094557777893469393804609206,38.894,-76.955,Failure to appear,2016,4,False
182371357327069776787823767735398685892,2016-04-06 07:45:00,DEFENDANT IN ARREST,Yes,Simple Assault,Threats To Kidnap/injure A Person/damage Property,22DUSC01810,47,5.0,Black,Not Hispanic Or Latino,Male,604,6D,604,WASHINGTON,DC,60912517756751570970583747276207967288,220769771740879695043737271513250288665,38.884,-76.929,Assault,2016,4,False
49874923829156300096625736019298972920,2016-04-06 07:52:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),25,18.0,Black,Unknown,Male,706,7D,706,WASHINGTON,DC,275740451800493213285887207392534559018,77949736143120565550906004799794026480,38.827,-77.0,Assault,2016,4,False
229250562414366435835796875492318197753,2016-04-06 08:09:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,35,7.0,Black,Not Hispanic Or Latino,Female,106,1D,106,WASHINGTON,DC,208226734956139198889879140485599329358,44045006974122975151818456812388569184,38.878,-76.99,Failure to appear,2016,4,False
161761822340460572845486684965646666863,2016-04-06 09:00:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,33,22.0,Black,Unknown,Female,604,6D,604,WASHINGTON,DC,193158091796176816955086212832748852135,207310083805157311672014869632725731665,38.882,-76.925,Failure to appear,2016,4,False
183953565187069817800094547063655386487,2016-04-06 11:20:00,DEFENDANT IN ARREST,Yes,Robbery,Robbery,22DC2801,29,21.0,Black,Unknown,Male,Unknown,1D,102,,,166415025926106248598670686133395635987,194201571197496456446313400024696016934,38.894,-77.01899999999999,Robbery,2016,4,False
82511677490135942143340908624893367237,2016-04-06 14:40:00,DEFENDANT IN ARREST,Yes,Fraud and Financial Crimes,Uttering,22DC3242(C),23,5.0,Black,Not Hispanic Or Latino,Male,Unknown,3D,305,WASHINGTON,DC,215440985926475636490586972395835524507,252023898182742645775400992808106958540,38.917,-77.031,Fraud,2016,4,False
81389949208888239494876983077013573083,2016-04-06 15:33:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,27,2.0,Black,Unknown,Female,302,5D,503,WASHINGTON,DC,6094702212436804878613668503683435637,208449910298687165628916182427026029366,38.921,-76.95100000000001,Failure to appear,2016,4,False
179155790404027350240724327114430616091,2016-04-06 16:12:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,48,7.0,Black,Not Hispanic Or Latino,Male,706,7D,706,WASHINGTON,DC,226767068446382644475411500218728784924,31379250698765474654062263395894476000,38.829,-76.991,Failure to appear,2016,4,False
120846252115386911516923462955654240545,2016-04-06 16:30:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,44,9.0,Black,Unknown,Female,406,4D,405,WASHINGTON,DC,45288258999459364358066679484088247751,147071312416461479297872502233780128402,38.957,-76.993,Failure to appear,2016,4,False
120846252115386911516923462955654240545,2016-04-06 16:30:00,DEFENDANT IN ARREST,,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,44,9.0,Black,Unknown,Female,406,4D,405,WASHINGTON,DC,45288258999459364358066679484088247751,147071312416461479297872502233780128402,38.957,-76.993,Failure to appear,2016,4,False
257276174784284317576131773603795822228,2016-04-06 17:56:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,30,19.0,Black,Not Hispanic Or Latino,Male,406,4D,403,WASHINGTON,DC,128791194811474229265228363415387689795,65471600678333684238221446170186875116,38.955,-77.027,Drugs,2016,4,False
103277522195784482134382137771846696752,2016-04-06 18:06:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,36,4.0,Black,Not Hispanic Or Latino,Male,302,4D,402,WASHINGTON,DC,217642389107762310843163889828627469495,301831603501769510731301932034911935958,38.959,-77.02,Drugs,2016,4,False
252557723416255718807773785134492817232,2016-04-06 18:20:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Prisoner Escape,22DC2601,33,11.0,Black,Not Hispanic Or Latino,Male,704,7D,704,WASHINGTON,DC,314591452453907389540147996873526039581,275365274716709832389074248283687914387,38.849000000000004,-76.975,Prisoner escape,2016,4,False
78231367381545562591567450252382253020,2016-04-06 18:51:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,45,13.0,Black,Unknown,Male,506,5D,502,WASHINGTON,DC,196978857169306861991133293380526779543,95600717319478609621375965280194890945,38.912,-77.009,Failure to appear,2016,4,False
128879808742308290299762917562992775306,2016-04-06 19:05:00,DEFENDANT IN ARREST,Yes,Offenses Against Family & Children,Stalking - Intent To Harm Victim,22DC3133(A)(1)3134A,34,2.0,Black,Not Hispanic Or Latino,Female,302,4D,403,WASHINGTON,DC,319695721948265100353939852521871179080,162290474042515196211725439236618478309,38.955999999999996,-77.027,Stalking,2016,4,False
247610116875417518803037742547093464045,2016-04-06 19:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),40,1.0,Black,Unknown,Male,608,6D,608,WASHINGTON,DC,250997920743368035323740287605839286716,116013355179653455664547305996001042255,38.894,-76.914,Assault,2016,4,False
193709680362987923873513101985286210741,2016-04-06 19:35:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,32,1.0,Unknown,Unknown,Male,OUT OF STATE,6D,604,COLLEGE PARK,MD,88486021974886843719468575213518200424,260072935315987499432478094851599451866,38.881,-76.933,Drugs,2016,4,False
52336165732342551552401214140589505427,2016-04-06 20:12:00,DEFENDANT IN ARREST,Yes,Other Crimes,Obstructing Justice,22DC722,20,15.0,Black,Not Hispanic Or Latino,Male,604,6D,603,WASHINGTON,DC,181775358154713488142142847673862960094,80334219773672849040809735698508917678,38.893,-76.956,Obstruction of justice,2016,4,False
199505014931633086519236100239143699102,2016-04-06 21:30:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),37,8.0,White,Not Hispanic Or Latino,Female,301,3D,302,WASHINGTON,DC,284932773920229632489435409432630059856,116155223362647508409109746030096995133,38.931,-77.035,Assault,2016,4,False
190807129407580837772965696911207034342,2016-04-06 22:51:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss Of A Controlled Substance -felony,48DC904.01D(F),42,3.0,Black,Not Hispanic Or Latino,Male,208,4D,405,WASHINGTON,DC,175285380637399327093780186212768278114,284846257674272313337671176247074802251,38.946,-76.999,Drugs,2016,4,False
228882753626923633557347130970674770448,2016-04-06 23:46:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),55,0.0,Black,Not Hispanic Or Latino,Male,505,5D,505,WASHINGTON,DC,299321417152408553896912309988160370423,327724620840196925304662846085940649174,38.922,-76.979,Assault,2016,4,False
30619640919842827801945376464501408461,2016-04-07 00:30:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,22,1.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,301,ALEXANDRIA,VA,337342495756344702077098592062100531252,201897454349819112841426642838999353026,38.915,-77.03699999999999,Failure to appear,2016,4,False
23230303331460560056741510114123834500,2016-04-07 00:45:00,DEFENDANT IN ARREST,Yes,Aggravated Assault,Assault With Significant Bodily Injury,22DC404(A)(2),33,0.0,Black,Not Hispanic Or Latino,Male,704,7D,704,WASHINGTON,DC,136211948810803364718992613459479742594,217128601432164698099132231488449070794,38.85,-76.972,Assault,2016,4,False
306049475171617292632615374651573943244,2016-04-07 02:51:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,16.0,Black,Unknown,Male,Unknown,2D,206,,,181229999666578373338992884760637892786,44347974239251377922909305818094211646,38.914,-77.069,Failure to appear,2016,4,False
315039243810883066537755241192812639383,2016-04-07 07:28:00,DEFENDANT IN ARREST,Yes,Damage to Property,Destruction Of Property $1000 Or More,22DC303F,30,10.0,Black,Not Hispanic Or Latino,Male,103,1D,103,WASHINGTON,DC,149021489357789058929182348028108236156,21974974628835268561855208903218949590,38.906,-77.009,Property,2016,4,False
297311705463487914144911447237329807107,2016-04-07 07:54:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,18,5.0,Black,Not Hispanic Or Latino,Male,601,7D,704,WASHINGTON,DC,87446984293621508421070757439433398729,30105647303895151907646898912657638242,38.849000000000004,-76.977,Failure to appear,2016,4,False
9317397453081910138333671151619965294,2016-04-07 11:00:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),30,12.0,Black,Not Hispanic Or Latino,Male,601,1D,107,WASHINGTON,DC,272579792522644652374425233180416579891,139297705701371385329846036026579406135,38.894,-77.002,Assault,2016,4,False
234337955944586408519796188348730879474,2016-04-07 13:45:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32.0,Black,Unknown,Male,707,3D,307,WASHINGTON,DC,117796842866111941277913554271731152951,287361183274149096714785656139421851469,38.91,-77.027,Failure to appear,2016,4,False
234337955944586408519796188348730879474,2016-04-07 13:45:00,DEFENDANT IN ARREST,,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32.0,Black,Unknown,Male,707,3D,307,WASHINGTON,DC,117796842866111941277913554271731152951,287361183274149096714785656139421851469,38.91,-77.027,Failure to appear,2016,4,False
234337955944586408519796188348730879474,2016-04-07 13:45:00,DEFENDANT IN ARREST,,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32.0,Black,Unknown,Male,707,3D,307,WASHINGTON,DC,117796842866111941277913554271731152951,287361183274149096714785656139421851469,38.91,-77.027,Failure to appear,2016,4,False
335700066831058286973078835254463942080,2016-04-07 16:50:00,DEFENDANT IN ARREST,Yes,Sex Offenses,First Degree Child Sex Abuse (rape),22DC3008,19,17.0,Black,Not Hispanic Or Latino,Male,702,1D,108,WASHINGTON,DC,118631179083897690332849305228740974730,307491059507286213827375184417527969070,38.883,-76.976,Sex offense,2016,4,False
218138027931611989907085713966756476172,2016-04-07 17:30:00,DEFENDANT IN ARREST,Yes,Theft,Theft First Degree (all Other Larceny),"22DC3211,3212B",61,3.0,Black,Unknown,Male,706,5D,505,WASHINGTON,DC,49473870766544583583967071763512831007,303079984557626894041369255212673713449,38.921,-76.991,Theft,2016,4,False
218138027931611989907085713966756476172,2016-04-07 17:30:00,DEFENDANT IN ARREST,,Fraud and Financial Crimes,Fraud 1st Deg $1000 Or More,"22DC3221A,3222A1",61,3.0,Black,Unknown,Male,706,5D,505,WASHINGTON,DC,49473870766544583583967071763512831007,303079984557626894041369255212673713449,38.921,-76.991,Fraud,2016,4,False
111853725070730910337266326677800161672,2016-04-07 18:30:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,31,23.0,Black,Not Hispanic Or Latino,Male,605,6D,606,WASHINGTON,DC,16831711157592512025873512065060133650,262745288201191784035103378258589401946,38.865,-76.95100000000001,Drugs,2016,4,False
270267744572327105791030932825589020100,2016-04-07 19:50:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,28,13.0,Black,Not Hispanic Or Latino,Female,OUT OF STATE,5D,506,WOODBRIDGE,VA,207659528950529878135798293171461501884,315223180650887269660753218910714140579,38.917,-76.979,Failure to appear,2016,4,False
270267744572327105791030932825589020100,2016-04-07 19:50:00,DEFENDANT IN ARREST,,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,28,13.0,Black,Not Hispanic Or Latino,Female,OUT OF STATE,5D,506,WOODBRIDGE,VA,207659528950529878135798293171461501884,315223180650887269660753218910714140579,38.917,-76.979,Failure to appear,2016,4,False
