mpd_arrest_number,mpd_arrest_date,person_type,top_charge,mpd_charge_category,mpd_charge_description,charge_code,age,arrest_count,race,ethnicity,sex,home_psa,arrest_district,arrest_psa,home_city,home_state,pdid,ccn,latitude,longitude,dmpsj_category,year,month,is_marijuana
89532671915457823187610259732481440624,2016-01-01 16:10:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,22,15.0,Black,Not Hispanic Or Latino,Male,603,3D,305,WASHINGTON,DC,215071106896244602328794493455281409686,206371433087200320723403738757792065122,38.917,-77.02199999999999,Drugs,2016,1,False
190366931266720832737869822486092885245,2016-01-01 16:20:00,DEFENDANT IN ARREST,Yes,Property Crimes,Tampering With Physical Evidence,22DC723,34,2.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,305,MT RAINIER,MD,166728489851770474973104663768259553586,152069348576003495048657718565261711214,38.917,-77.02199999999999,Obstruction of justice,2016,1,False
190366931266720832737869822486092885245,2016-01-01 16:20:00,DEFENDANT IN ARREST,,Other Crimes,Obstructing Justice,22DC722,34,2.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,305,MT RAINIER,MD,166728489851770474973104663768259553586,152069348576003495048657718565261711214,38.917,-77.02199999999999,Obstruction of justice,2016,1,False
324044690166979967898126810537233907220,2016-01-01 16:30:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possess Prohibited Weapon,22DC4503-X,21,8.0,Black,Unknown,Male,306,3D,306,WASHINGTON,DC,77320499839702258333213463177661805431,308611425740393637161466472014392188530,38.916,-77.02199999999999,Weapons,2016,1,False
289004920860609261117689297415604336075,2016-01-01 17:15:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,22,10.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,6D,602,ALEXANDRIA,VA,174023231563340530383226980218093145924,64440167203531818561594734677027280630,38.896,-76.94800000000001,Failure to appear,2016,1,False
272061637159226409364044642802105537737,2016-01-01 18:40:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carry Pistol Outside Home/business,22DC4504A1-Y-1,28,1.0,Black,Not Hispanic Or Latino,Female,707,3D,304,WASHINGTON,DC,99858174660870236980795501695914720029,177098404299046793058439676935869390365,38.921,-77.02600000000001,Weapons,2016,1,False
272061637159226409364044642802105537737,2016-01-01 18:40:00,DEFENDANT IN ARREST,,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7DC2502.01,28,1.0,Black,Not Hispanic Or Latino,Female,707,3D,304,WASHINGTON,DC,99858174660870236980795501695914720029,177098404299046793058439676935869390365,38.921,-77.02600000000001,Weapons,2016,1,False
20427358441144635191811181521093442260,2016-01-01 18:54:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possess Prohibited Weapon,22DC4503-X,40,6.0,Black,Not Hispanic Or Latino,Male,Unknown,2D,202,WASHINGTON,DC,239633304184802551303401303617709217525,172980563341113489196926701952289439083,38.945,-77.078,Weapons,2016,1,False
115258112122856303090063115353742191579,2016-01-01 19:15:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,21,7.0,Black,Not Hispanic Or Latino,Male,602,6D,608,WASHINGTON,DC,177895055079210084948223489699094409116,88028635897561324867889767101140947304,38.891999999999996,-76.92699999999999,Drugs,2016,1,False
124979846183072413142052562135946422944,2016-01-01 19:35:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),19,5.0,Black,Not Hispanic Or Latino,Male,708,7D,702,WASHINGTON,DC,87929294994346883651875754526321818114,310026945371296866140690818926611122873,38.856,-76.972,Assault,2016,1,False
183197166541274875435937148642151445568,2016-01-01 20:19:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32.0,Black,Unknown,Male,Unknown,5D,501,,,17752983140123237091085441747409500400,211927370333348049637623556560479367831,38.909,-77.00399999999999,Failure to appear,2016,1,False
183197166541274875435937148642151445568,2016-01-01 20:19:00,DEFENDANT IN ARREST,,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32.0,Black,Unknown,Male,Unknown,5D,501,,,17752983140123237091085441747409500400,211927370333348049637623556560479367831,38.909,-77.00399999999999,Failure to appear,2016,1,False
183197166541274875435937148642151445568,2016-01-01 20:19:00,DEFENDANT IN ARREST,,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,32.0,Black,Unknown,Male,Unknown,5D,501,,,17752983140123237091085441747409500400,211927370333348049637623556560479367831,38.909,-77.00399999999999,Failure to appear,2016,1,False
77727958071872639933928997940079814596,2016-01-01 20:30:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,36,11.0,Black,Not Hispanic Or Latino,Male,602,6D,604,WASHINGTON,DC,189887528091987196025959562827069568459,164337989936834444246503099622779784300,38.882,-76.93,Failure to appear,2016,1,False
43736291596574981635954135268045479239,2016-01-01 20:50:00,DEFENDANT IN ARREST,Yes,Other Crimes,Accessory After The Fact,22DC1806,42,0.0,Black,Not Hispanic Or Latino,Female,OUT OF STATE,4D,406,DISTRICT HEIGHTS,MD,97404983299973764926526058682176060789,90152424537284747342169556750851511611,38.958,-77.002,Other,2016,1,False
167650375624952634813462341496932331219,2016-01-01 22:12:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,28,4.0,Black,Unknown,Male,407,7D,702,WASHINGTON,DC,21577675562095139951885027312455702196,124582316642024995551775565573469506433,38.853,-76.965,Failure to appear,2016,1,False
246142465227198812111867957815171634288,2016-01-01 23:00:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,22DC4504(A)-Y-3,20,6.0,Black,Not Hispanic Or Latino,Male,304,3D,304,WASHINGTON,DC,257529062441700983131215602690229689334,760705141642058639293226388806657965,38.925,-77.032,Weapons,2016,1,False
246142465227198812111867957815171634288,2016-01-01 23:00:00,DEFENDANT IN ARREST,,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,7DC2502.01,20,6.0,Black,Not Hispanic Or Latino,Male,304,3D,304,WASHINGTON,DC,257529062441700983131215602690229689334,760705141642058639293226388806657965,38.925,-77.032,Weapons,2016,1,False
327855553564084499872852572324516088927,2016-01-01 23:27:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),48,18.0,Black,Unknown,Male,OUT OF STATE,1D,104,CAPITAL HEIGHTS,MD,87504912345779934362988513392057912545,239445180985031114229291194714616280837,38.9,-76.987,Assault,2016,1,False
327855553564084499872852572324516088927,2016-01-01 23:27:00,DEFENDANT IN ARREST,,Simple Assault,Threat To Kidnap Or Injure A Person,22DC1810,48,18.0,Black,Unknown,Male,OUT OF STATE,1D,104,CAPITAL HEIGHTS,MD,87504912345779934362988513392057912545,239445180985031114229291194714616280837,38.9,-76.987,Assault,2016,1,False
237239891179321194995221160896362414922,2016-01-02 00:01:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,51,0.0,White,Not Hispanic Or Latino,Male,Unknown,4D,401,,,107127412571095666966445653385864695217,47592506577517094290041209545004424813,38.977,-77.025,Failure to appear,2016,1,False
157840390050440873136677986304291737582,2016-01-02 01:24:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),51,5.0,Black,Not Hispanic Or Latino,Male,505,5D,505,WASHINGTON,DC,2725926121819678775994874366695559505,185406570766624715023599900107709453706,38.921,-76.979,Assault,2016,1,False
296822020383990559215066650401137800951,2016-01-02 03:15:00,DEFENDANT IN ARREST,Yes,Other Crimes,Bribery,22DC712,22,0.0,White,Hispanic Or Latino,Male,OUT OF STATE,2D,207,WOODBRIDGE,VA,34039826868503301695659236926003741336,130424636950766670458296043104255970340,38.902,-77.033,Other,2016,1,False
190989156160098631946460862626255059128,2016-01-02 03:19:00,DEFENDANT IN ARREST,Yes,Simple Assault,Threat/resist/intimidate/intentionally Interfere Government Employee,36RUSC2.32A1,34,6.0,Black,Not Hispanic Or Latino,Male,OUT OF STATE,3D,303,OXON HILL,MD,288192081702031066603545622973797691422,161925495665786599888886068469695387274,38.921,-77.041,Assault,2016,1,False
42350554032081619457862635968821479383,2016-01-02 10:56:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,23,6.0,Black,Not Hispanic Or Latino,Male,708,7D,708,WASHINGTON,DC,211386287261440731475790648240846357056,277870459367097957129257544046140346817,38.824,-77.001,Failure to appear,2016,1,False
266010196459366622600926458603497221286,2016-01-02 11:45:00,DEFENDANT IN ARREST,Yes,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,43,0.0,Black,Not Hispanic Or Latino,Male,604,5D,501,WASHINGTON,DC,95255930786861438874547758433283483665,90648214556559801458150736434115781221,38.916,-77.009,Vehicle,2016,1,False
259325632418315410311725701316718619343,2016-01-02 14:25:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,26,20.0,Black,Not Hispanic Or Latino,Male,403,1D,102,WASHINGTON,DC,231441226703401745410978381091951166523,185804542596307044602995884946906215485,38.895,-77.014,Drugs,2016,1,False
43317288367115818116757419147868456248,2016-01-02 14:40:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,53,13.0,Black,Not Hispanic Or Latino,Male,706,1D,102,WASHINGTON,DC,268916538105819719069386093326176608167,171291418132199467065476260578789663835,38.902,-77.02,Drugs,2016,1,False
34854539465877235406781021580975809207,2016-01-02 15:25:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),33,0.0,White,Hispanic Or Latino,Male,302,4D,402,WASHINGTON,DC,98575234665714762223701021853625563209,299754998044979175329059611836716975568,38.963,-77.027,Assault,2016,1,False
42233317016336006654664840238542767731,2016-01-02 16:30:00,DEFENDANT IN ARREST,Yes,Theft,Theft First Degree (shoplifting),"22DC3211,3212A",25,7.0,Black,Unknown,Male,OUT OF STATE,6D,605,DISTRICT HEIGHTS,MD,18127745975281601368013208965112520619,276470087385781311113857135820887074412,38.866,-76.95,Theft,2016,1,False
40398634850391105670595273796203141368,2016-01-02 16:40:00,DEFENDANT IN ARREST,Yes,Weapon Violations,Possess Prohibited Weapon,22DC4503-X,23,7.0,White,Hispanic Or Latino,Male,506,5D,505,WASHINGTON,DC,16367530362194208599450585707738918828,43324362450485983898992006457652535670,38.919000000000004,-76.98899999999999,Weapons,2016,1,False
259002513663553879016310412823085918976,2016-01-02 17:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,51,9.0,Black,Unknown,Male,703,3D,306,WASHINGTON,DC,232771568225444970932869874823292521714,201627902929987218783511647166723722338,38.915,-77.02,Drugs,2016,1,False
198615586805868404714221082502086263174,2016-01-02 17:00:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),31,1.0,Black,Unknown,Male,303,2D,206,VIENNA,VA,40820203669617230937658829721511184997,179348445374856106753647608232703329564,38.905,-77.065,Assault,2016,1,False
189030045196506579423083876286821972605,2016-01-02 17:32:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,51,9.0,Black,Not Hispanic Or Latino,Male,104,1D,101,WASHINGTON,DC,254607465121375675813677289960776386400,220567303373964944557203079685578581910,38.902,-77.03,Drugs,2016,1,False
325185191558955604846644098319107339196,2016-01-02 19:30:00,DEFENDANT IN ARREST,Yes,Robbery,Assault W/i To Commit Robbery (simple Assault),22DC401-X,49,17.0,Black,Not Hispanic Or Latino,Male,703,1D,101,WASHINGTON,DC,338740265194810754684271771049321923517,62937604116851546333414343467200208767,38.898,-77.025,Assault,2016,1,False
332336188756206916812782375172937239273,2016-01-02 19:45:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,54,8.0,Black,Not Hispanic Or Latino,Male,Unknown,6D,608,WASHINGTON,DC,320316118054916622166107302998412987171,165865986381760564241898426240517771510,38.894,-76.919,Failure to appear,2016,1,False
303401113778366945796839859708506653961,2016-01-02 20:40:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),56,1.0,Black,Unknown,Male,502,5D,502,WASHINGTON,DC,124212278653685158810962477076414904545,65316676911006901377709395124942355615,38.915,-77.008,Assault,2016,1,False
186125138494383513336041003440285789239,2016-01-02 21:30:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,30,1.0,White,Not Hispanic Or Latino,Male,OUT OF STATE,1D,103,STERLING,VA,12635287170744057081563181938445215665,292279446434222870327578545402799389913,38.900999999999996,-77.009,Drugs,2016,1,False
259777058892116743119125470857237124202,2016-01-02 22:50:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,37,1.0,Black,Not Hispanic Or Latino,Female,708,Unknown,Unknown,WASHINGTON,DC,233858435404897709598301910484492923626,254511294983958392440956739379816954760,,,Drugs,2016,1,False
259777058892116743119125470857237124202,2016-01-02 22:50:00,DEFENDANT IN ARREST,,Damage to Property,Destruction Of Property $1000 Or More,22DC303F,37,1.0,Black,Not Hispanic Or Latino,Female,708,Unknown,Unknown,WASHINGTON,DC,233858435404897709598301910484492923626,254511294983958392440956739379816954760,,,Property,2016,1,False
227072260591474324089442060806825007450,2016-01-03 04:20:00,DEFENDANT IN ARREST,Yes,Aggravated Assault,Aggravated Assault,22DUSC00404.01,27,2.0,Black,Not Hispanic Or Latino,Male,701,7D,701,WASHINGTON,DC,167332250692370072595704756630075993203,186510088060261542264030101160292905049,38.865,-76.983,Assault,2016,1,False
89104769684846412500562808274205594146,2016-01-03 04:20:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),38,0.0,Black,Unknown,Female,601,6D,601,WASHINGTON,DC,215179388400180653871171255198476683782,138075147746230725402390350557589349879,38.905,-76.95100000000001,Assault,2016,1,False
190711881367762073655608569060352397807,2016-01-03 04:45:00,DEFENDANT IN ARREST,Yes,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,31,9.0,Black,Not Hispanic Or Latino,Male,108,5D,506,UPPER MARLBORO,MD,183265142470425374774590007158369515778,180323165832810546637065711496997077073,38.908,-76.988,Vehicle,2016,1,False
89729449947861935969725913449621191105,2016-01-03 06:34:00,DEFENDANT IN ARREST,Yes,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,22DC502 (2000 ED),23,2.0,Black,Not Hispanic Or Latino,Male,Unknown,Unknown,Unknown,WASHINGTON,DC,161696956782237524857140670367999554519,278648412805939152840915508660314156751,38.918,-77.042,Assault,2016,1,False
48404429403177389866857340695334533561,2016-01-03 08:30:00,DEFENDANT IN ARREST,Yes,Simple Assault,Threat To Kidnap Or Injure A Person,22DC1810,29,2.0,Black,Not Hispanic Or Latino,Male,404,4D,404,WASHINGTON,DC,288313908735140926649885813304922920548,275193154211385922865788262272066315753,38.946,-77.03,Assault,2016,1,False
274857712518422552077120264497182236064,2016-01-03 09:15:00,DEFENDANT IN ARREST,Yes,Release Violations/Fugitive,Failure To Appear (USAO),23DC703,36,15.0,Black,Not Hispanic Or Latino,Male,706,1D,106,WASHINGTON,DC,323670638613292534402179416038202898725,108773913464109676557823208652200452176,38.876,-77.0,Failure to appear,2016,1,False
145269203840711678115834099795785232597,2016-01-03 16:00:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,19,17.0,Black,Not Hispanic Or Latino,Male,703,7D,703,WASHINGTON,DC,313768266490906863346770130219455454855,67363656010866302167697554319734391943,38.861,-76.994,Assault on a police officer,2016,1,False
145269203840711678115834099795785232597,2016-01-03 16:00:00,DEFENDANT IN ARREST,,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,19,17.0,Black,Not Hispanic Or Latino,Male,703,7D,703,WASHINGTON,DC,313768266490906863346770130219455454855,67363656010866302167697554319734391943,38.861,-76.994,Assault on a police officer,2016,1,False
145269203840711678115834099795785232597,2016-01-03 16:00:00,DEFENDANT IN ARREST,,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,19,17.0,Black,Not Hispanic Or Latino,Male,703,7D,703,WASHINGTON,DC,313768266490906863346770130219455454855,67363656010866302167697554319734391943,38.861,-76.994,Assault on a police officer,2016,1,False
145269203840711678115834099795785232597,2016-01-03 16:00:00,DEFENDANT IN ARREST,,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,19,17.0,Black,Not Hispanic Or Latino,Male,703,7D,703,WASHINGTON,DC,313768266490906863346770130219455454855,67363656010866302167697554319734391943,38.861,-76.994,Assault on a police officer,2016,1,False
145269203840711678115834099795785232597,2016-01-03 16:00:00,DEFENDANT IN ARREST,,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,19,17.0,Black,Not Hispanic Or Latino,Male,703,7D,703,WASHINGTON,DC,313768266490906863346770130219455454855,67363656010866302167697554319734391943,38.861,-76.994,Assault on a police officer,2016,1,False
235168053304431750384677419477926426860,2016-01-03 17:00:00,DEFENDANT IN ARREST,Yes,Narcotics,Poss W/i To Dist A Controlled Substance,48DC904.01A1-X,24,12.0,Black,Unknown,Male,504,1D,102,WASHINGTON,DC,266507788607633719384994067115602697102,296214563608077587118739576694997447965,38.899,-77.023,Drugs,2016,1,False
191591325589542856241358354525850703510,2016-01-03 17:15:00,DEFENDANT IN ARREST,Yes,Assault on a Police Officer,Assault On A Police Officer (aggravated Assault),22DC405C,18,1.0,Black,Unknown,Male,405,4D,405,WASHINGTON,DC,211963239536199206069916136201389795199,274293015357817276018149103937879075541,38.946,-76.997,Assault on a police officer,2016,1,False
191591325589542856241358354525850703510,2016-01-03 17:15:00,DEFENDANT IN ARREST,,Property Crimes,Unauthorized Use Of A Vehicle,22DC3215,18,1.0,Black,Unknown,Male,405,4D,405,WASHINGTON,DC,211963239536199206069916136201389795199,274293015357817276018149103937879075541,38.946,-76.997,Vehicle,2016,1,False
